Identifier,Type,Address,Annote,Author,Title,Year,URL,Custom1,Chapter,Booktitle,Edition,Editor,Howpublish,Institutn,Journal,Month,Note,Number,Organizat,Pages,Publisher,School,Series,RepType,Volume,Custom2,Custom3,Custom4,Custom5,ISNB,LocalURL
bdid_00001,,,,"Singer-Vine, Jeremy",An introduction to Visidata,2021,https://jsvine.github.io/intro-to-visidata/index.html,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00002,,,,"Pswanson, Paul",Visidata,2026,https://www.visidata.org/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00003,,,,"Gruber, John",Markdown,2026,https://daringfireball.net/projects/markdown/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00004,,,,Markdownguide,Basic syntax,2026,https://www.markdownguide.org/extended-syntax/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00005,,,,Markdownguide,Extended syntax,2026,https://www.markdownguide.org/extended-syntax/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00006,,,,Markdownguide,Hacks,2026,https://www.markdownguide.org/hacks/#comments,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00007,,,,OpenVim,Visual mode,2026,https://openvim.com/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00008,,,,Wikipedia,Markdown,2026,https://en.wikipedia.org/wiki/Markdown,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00009,,,,W3schools,Html entities,2026,https://www.w3schools.com/charsets/ref_html_entities_e.as,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00010,,,,"Fellman, Nathan",Stackoverflow\: Searching a word in Vim,2009,https://stackoverflow.com/questions/458915/searching-word-in-vim,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00011,,,,OpenVim,Visual mode,2026,https://openvim.com/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00012,,,,Markdown Viewer,Markdown Viewer,2009,https://markdownviewer.org/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00013,,,,OpenVim,"Find a character\, f and F",2026,https://openvim.com/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00014,,,,"Panivski, Dejan",How to search in Vim/Vi,2026,https://linuxize.com/post/vim-search/#search-highlighting,English,How to search in Vim/Vi,,,,,,,,,,,,,,,,,,,,,,
bdid_00015,,,,"Panivski, Dejan",Vim Cheatsheet,2026,https://linuxize.com/cheatsheet/vim/,English,Vim Cheatsheet,,,,,,,,,,,,,,,,,,,,,,
bdid_00016,,,,"Panivski, Dejan",Find and replace in Vim/Vi,2026,https://linuxize.com/post/vim-find-replace/,English,Find and replace in Vim/Vi,,,,,,,,,,,,,,,,,,,,,,
bdid_00017,,,,"Abhisheck, Ray",CSV escape characters,2026,https://www.importcsv.com/blog/csv-escape-characters,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00018,,,,"Quassnoi",Select count from multiple tables,2009,https://stackoverflow.com/questions/606234/select-count-from-multiple-tables,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00019,,,,"Kumar, Bijay",How to Create an Empty File in PowerShell,2024,https://powershellfaqs.com/create-an-empty-file-in-powershell/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00020,,,,"k1r1t0",Install all dependencies of a package with pacman,2022,https://unix.stackexchange.com/questions/723875/install-all-dependencies-of-a-package-with-pacman,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00021,,,,"Instituto Nacional de Estadistica, Geografía e Informática de México","Censo de Población y Vivienda 2020, Tabulados, Población",2020,https://www.inegi.org.mx/contenidos/programas/ccpv/2020/tabulados/cpv2020_b_eum_01_poblacion.xlsx,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00022,,,,"Pricearchive","AMD Ryzen 7 5800X3D AM4 Desktop Processor For Gaming Build 8C16T 5GHz 96MB Cache Loose Piece",2026,https://www.pricearchive.org/aliexpress.com/item/1005012847956133,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00023,,,,"Money Currency Converter","United States Dollar (USD) To Mexican Peso (MXN) Currency Exchange Rates History",2026,https://www.moneycurrencyconverter.com/usd-mxn-exchange-rates-history.html,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00024,,,,"Wikipedia","Emacs",2026,https://en.wikipedia.org/wiki/Emacs,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00025,,,,"Microsoft Ignite","WinGet",2026,https://learn.microsoft.com/en-us/windows/package-manager/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00026,,,,"Vindarel","The Common Lisp Cookbook",2026,https://lispcookbook.github.io/cl-cookbook/,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00027,,,,"L. Green, Richard","Free software for DOS: Database & Spreadsheet Programs",2006,https://www.bttr-software.de/freesoft/dbase.htm,English,,,,,,,,,,,,,,,,,,,,,,,
bdid_00028,,,,"Bricklin, Daniel","VisiCalc License",2009,http://www.bricklin.com/history/vclicense.htm,English,,,,,,,,,,,,,,,,,,,,,,,
